longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,,ocean_proximity,income_cat,,median_house_value,median_house_value prediction
-122.23,39.75,16,2026,396,1031,382,1.9375,,INLAND,2,,73100,80344
-121.96,37.1,20,922,155,361,135,6.3617,,<1H OCEAN,5,,331500,322859
-121.06,39.04,15,1999,287,585,246,5.5161,,INLAND,4,,361900,194333
-118.1,34.09,46,2822,525,1434,520,3.8906,,<1H OCEAN,3,,238300,236153
-118.32,33.95,44,2131,360,1040,330,5.0912,,<1H OCEAN,4,,169800,219396
-122.21,37.44,35,1140,193,486,199,4.6908,,NEAR OCEAN,4,,500001,332820.16
-118.19,34.1,39,2054,423,1205,403,4.239,,<1H OCEAN,3,,213000,217599
-122.38,40.09,16,2077,388,1155,389,3.1361,,INLAND,3,,84800,102538
-117.3,33.06,31,2128,520,1049,485,4.027,,NEAR OCEAN,3,,290000,362166.16
-122.13,37.71,44,1421,298,609,270,3.5781,,NEAR BAY,3,,180000,184940
-118.29,33.98,44,2261,555,1348,455,1.9125,,<1H OCEAN,2,,97200,110668
-121.53,39.52,30,1030,161,448,159,2.4821,,INLAND,2,,73800,70007
-120.47,34.65,16,2549,428,1486,432,4.2875,,NEAR OCEAN,3,,150700,179536
-118.3,34,52,1718,354,1026,312,2,,<1H OCEAN,2,,128000,113776
-118.22,33.8,33,1984,477,1764,440,3.875,,NEAR OCEAN,3,,165100,173247.02
-118.27,33.97,39,2569,688,2601,630,2.0754,,<1H OCEAN,2,,101400,111565
-118.34,34.06,52,1311,310,707,290,3.4812,,<1H OCEAN,3,,432800,389872.1
-119.21,34.18,13,6103,1319,2986,1212,3.9718,,NEAR OCEAN,3,,215200,255816.08
-117.83,33.81,24,3550,895,2828,834,2.8403,,<1H OCEAN,2,,225600,183767
-118.85,34.18,11,5873,1455,3089,1365,3.5504,,<1H OCEAN,3,,173800,226874
-118.37,36.19,10,443,111,48,21,3.125,,INLAND,3,,71300,85920.01
-121.85,37.39,15,8748,1547,4784,1524,5.8322,,<1H OCEAN,4,,276600,274082.01
-118.37,33.85,25,5622,998,2537,1009,5.785,,<1H OCEAN,4,,395300,329385.01
-118.96,35.37,32,1025,259,874,236,1.9612,,INLAND,2,,53400,57129
-120.64,35.65,9,3466,673,2356,619,2.9926,,<1H OCEAN,2,,158200,161416
-118.41,34.19,42,779,145,450,148,3.9792,,<1H OCEAN,3,,193800,204864
-122.53,37.95,22,7446,1979,2980,1888,3.5838,,NEAR BAY,3,,271300,264510.04
-117.33,34.15,28,1473,333,1196,312,1.6993,,INLAND,2,,67800,72501
-117.23,33.57,6,13724,2269,5860,1986,3.9617,,<1H OCEAN,3,,183000,186913
-120.44,37.28,12,2855,598,1658,586,2.3929,,INLAND,2,,81100,99288
-117.2,33.7,23,6323,1196,1984,1124,2.3276,,<1H OCEAN,2,,92400,133489
-121.34,38.64,12,2772,578,1335,565,3.8068,,INLAND,3,,161000,139277
-117.28,34.12,36,2991,822,2378,751,1.3571,,INLAND,1,,70600,72074
-119.48,36.5,32,3451,625,1968,574,2.9554,,INLAND,2,,110300,75650
-122.04,37.04,17,4977,994,1987,947,3.8854,,NEAR OCEAN,3,,312300,256146.01
-118.45,34.03,39,1657,402,931,363,3.7813,,<1H OCEAN,3,,336300,390762.34
-117.47,33.92,18,3869,773,2500,726,3.6583,,INLAND,3,,126100,125715
-121.94,37.75,16,5121,735,2464,761,6.6204,,<1H OCEAN,5,,296100,313842.02
-117.28,34.51,10,4676,884,2845,812,3.0181,,INLAND,3,,100400,100415
-120.95,35.44,30,6346,1410,1769,887,2.6864,,NEAR OCEAN,2,,283600,247829.01
-117.9,33.97,23,7353,1255,4014,1124,5.4155,,<1H OCEAN,4,,213200,265046
-120.77,38.38,15,4221,816,1737,743,2.3125,,INLAND,2,,128600,117051
-116.93,32.8,19,1867,538,1219,468,2.0685,,<1H OCEAN,2,,130000,125660
-118.13,33.81,34,1903,343,928,349,5.395,,<1H OCEAN,4,,241900,258365
-117.4,33.95,46,2189,423,866,389,3.1384,,INLAND,3,,111500,125728
-122.07,37.96,34,1692,290,836,289,5.0172,,NEAR BAY,4,,197100,209437
-123.71,39.88,42,1518,383,656,303,1.4952,,NEAR OCEAN,1,,69800,95801
-122.72,38.58,4,7042,1100,2936,1043,5.0555,,<1H OCEAN,4,,240800,220265
-117.77,33.72,9,2153,316,954,324,7.8139,,<1H OCEAN,5,,304700,350343.01
-117.93,34.07,34,1409,305,819,273,3.3977,,<1H OCEAN,3,,188800,196671
-118.41,34.07,52,1202,142,408,138,15.0001,,<1H OCEAN,5,,500001,499493.97
-120.07,36.97,28,1563,403,1564,408,1.5662,,INLAND,2,,48000,52880
-119.27,36.05,29,1016,174,481,140,2.2917,,INLAND,2,,112500,68095
-120.82,37.05,15,1385,288,775,255,1.933,,INLAND,2,,140600,86362
-121.43,38.54,42,3321,688,1346,658,2.4618,,INLAND,2,,101300,99925
-120.44,34.96,30,1685,315,1290,368,3.4722,,<1H OCEAN,3,,112500,149865
-120.35,37.95,13,2104,407,960,401,2.4,,INLAND,2,,177000,111671
-118.17,33.95,23,1991,584,1380,535,1.9107,,<1H OCEAN,2,,181900,162570
-121.57,39.5,31,2023,469,1073,436,1.5714,,INLAND,2,,56100,56818
-117.82,33.88,18,1982,300,1027,324,7.0526,,<1H OCEAN,5,,327500,288758.01
-121.9,37.44,4,1646,408,853,410,5.0821,,<1H OCEAN,4,,265500,228949
-121.45,38.54,38,1865,384,1052,354,1.7891,,INLAND,2,,60500,69333
-119.81,36.83,19,6789,1200,2325,1109,4.049,,INLAND,3,,126000,118531
-118.36,33.8,34,2629,369,966,375,10.1241,,NEAR OCEAN,5,,500001,499285.99
-117.68,33.59,8,2327,263,899,236,14.9009,,<1H OCEAN,5,,500001,492885.46
-118.04,33.88,17,4807,838,3059,853,5.7619,,<1H OCEAN,4,,297300,277894
-118.43,34.01,41,1527,279,746,285,6.4232,,<1H OCEAN,5,,446600,425187.3
-122.71,38.5,15,5645,830,2324,769,6.6104,,<1H OCEAN,5,,330900,329202.04
-121.83,36.6,30,2748,502,1491,535,4.3472,,<1H OCEAN,3,,185000,223562
-120.82,35.31,16,3924,699,1325,638,2.5172,,NEAR OCEAN,2,,293900,221513.02
-120.06,36.95,24,646,134,454,149,2.125,,INLAND,2,,61900,64215.97
-122.14,37.68,31,3184,716,1561,628,2.7955,,NEAR BAY,2,,183100,167526
-116.46,33.78,25,1137,414,604,240,1.3801,,INLAND,1,,55000,80917
-121.09,38.19,23,762,140,358,141,2.4545,,INLAND,2,,105000,114648
-121.32,38.57,15,3369,499,1733,470,5.31,,INLAND,4,,127500,172272
-120.99,37.66,30,1718,395,914,400,1.933,,INLAND,2,,107000,88449
-122.22,37.79,37,2343,574,1608,523,2.1494,,NEAR BAY,2,,132500,126982
-122.47,37.78,52,2169,522,1220,505,3.1989,,NEAR BAY,3,,446900,418248.04
-117.91,33.61,40,2790,531,952,424,4.8,,<1H OCEAN,4,,500001,427602.4
-121.53,39.06,20,561,109,308,114,3.3021,,INLAND,3,,70800,106573
-117.04,32.83,8,2205,348,777,341,6.0266,,<1H OCEAN,5,,177400,291825.06
-118.13,34.11,52,2568,345,1102,345,9.1373,,<1H OCEAN,5,,500001,492899.86
-122.32,38.06,4,7999,1611,3596,1396,5.0969,,NEAR BAY,4,,174200,193816
-121.73,37.68,17,20354,3493,8768,3293,5.4496,,INLAND,4,,238900,226898
-118.98,35.4,36,1864,331,1052,325,3.4205,,INLAND,3,,76600,82432
-121.9,37.25,28,2714,502,1389,490,5.7385,,<1H OCEAN,4,,240400,302672.01
-121.3,38.69,13,2135,429,779,432,3.6995,,INLAND,3,,134900,129854
-115.64,32.75,19,377,69,198,55,1.625,,INLAND,2,,112500,77287
-117.89,33.76,34,1050,210,723,201,4.8,,<1H OCEAN,4,,192700,192851
-118.36,33.92,46,1231,231,793,256,4.1023,,<1H OCEAN,3,,226800,215932
-117.06,32.58,11,2879,679,2098,673,3.5125,,NEAR OCEAN,3,,142400,136963
-115.49,32.67,25,2322,573,2185,602,1.375,,INLAND,1,,70100,68151
-117.31,34.09,34,1336,345,1009,311,1.608,,INLAND,2,,73700,71106
-121.03,39.21,28,2843,535,1310,525,3.2337,,INLAND,3,,123100,146769
-117.05,32.72,35,1777,369,1158,353,3.4107,,NEAR OCEAN,3,,117000,129613
-117.95,33.92,18,2825,660,1590,643,3.6106,,<1H OCEAN,3,,153600,184792
-119.01,35.31,19,7092,1517,4101,1436,2.1006,,INLAND,2,,74800,74177
-119.17,34.27,18,8010,1539,3982,1483,4.0905,,NEAR OCEAN,3,,236500,239402.02
-118.07,34.14,42,3200,685,1668,628,3.375,,INLAND,3,,260400,235833
-122.23,38.1,46,4143,895,2240,847,2.4201,,NEAR BAY,2,,92800,124368
-117.75,34.06,52,62,9,44,16,0.4999,,INLAND,1,,112500,335054.37
-118.27,33.81,42,865,208,811,218,3.8621,,<1H OCEAN,3,,165300,171136
-121.32,38,21,1795,482,1114,472,2.0091,,INLAND,2,,101500,94929
-118.99,36.06,19,2153,458,1317,386,1.7564,,INLAND,2,,42600,56499
-122.37,40.54,28,2213,390,1096,378,3.6923,,INLAND,3,,86900,108263
-120.39,37.98,52,1056,274,584,255,2.1513,,INLAND,2,,86700,101115
-118.33,34.11,48,1601,464,784,461,3.0642,,<1H OCEAN,3,,342900,307926.04
-118.08,33.89,37,1152,259,981,225,3.2857,,<1H OCEAN,3,,153600,161120
-117.25,33.36,6,3725,960,2833,915,2.3214,,<1H OCEAN,2,,247000,146362.01
-119.15,36.29,18,1435,,657,254,2.4281,,INLAND,2,,72500,77637
-117.63,33.94,36,447,95,2886,85,4.2578,,INLAND,3,,183300,187072.08
-118.55,34.19,18,5862,,3161,1280,3.1106,,<1H OCEAN,3,,170600,223281.02
-117.89,33.71,16,1591,225,926,239,6.2452,,<1H OCEAN,5,,266300,259018
-117.69,33.66,5,4246,689,1933,722,6.9501,,<1H OCEAN,5,,225700,305875.01
-118.35,33.88,25,1459,362,1150,354,3.35,,<1H OCEAN,3,,237500,247649
-118.09,34.16,45,2199,358,942,353,5.0393,,INLAND,4,,321100,339838
-121.05,39.11,7,2767,423,1143,382,3.6333,,INLAND,3,,170200,171521
-118.21,34.1,40,1684,316,795,330,5.2723,,<1H OCEAN,4,,218300,321372.01
-119.04,36.07,17,2623,659,1912,618,1.5893,,INLAND,2,,52000,62678
-117.3,34.15,33,1607,282,608,260,4.3438,,INLAND,3,,115000,136982
-117.75,34.06,44,477,135,502,117,2.0156,,INLAND,2,,112500,101801
-114.61,33.62,16,1187,261,1115,242,2.1759,,INLAND,2,,61500,61247
-117.61,34.13,21,8416,1386,4308,1341,4.4611,,INLAND,3,,164600,169082
-118.11,34.05,23,3436,565,1729,529,5.9941,,<1H OCEAN,4,,266700,312607.09
-118.95,35.26,24,1341,214,667,184,4,,INLAND,3,,94500,95376
-118.35,33.9,25,3309,902,2299,837,3.0417,,<1H OCEAN,3,,237000,216391
-122.89,38.93,20,1214,247,504,223,2.7188,,<1H OCEAN,2,,105700,186389
-121.89,36.6,40,626,164,337,150,2.7917,,<1H OCEAN,2,,225000,219187
-118.31,34.26,34,1797,363,948,363,4.1339,,<1H OCEAN,3,,187300,224710
-122.01,37.25,31,1574,193,551,191,10.2311,,<1H OCEAN,5,,500001,500001
-118.37,34.04,43,888,170,514,161,3.1827,,<1H OCEAN,3,,202800,255663.01
-117.19,32.76,52,1294,175,434,180,5.7914,,NEAR OCEAN,4,,500001,352736.13
-119.71,36.8,17,2056,366,1259,367,3.9338,,INLAND,3,,84700,91347
-117.28,34.68,28,1932,421,1156,404,1.8958,,INLAND,2,,55600,82662
-120.84,35.32,15,2419,538,1279,522,3.4762,,NEAR OCEAN,3,,189600,228307
-118.13,34.02,43,396,91,261,73,2.9044,,<1H OCEAN,2,,172900,171733
-117.02,33.6,7,1972,352,964,317,3.244,,INLAND,3,,337200,146539.01
-116.97,32.76,33,3071,466,1348,513,6.1768,,<1H OCEAN,5,,228900,331978.03
-117.71,33.61,26,3046,726,888,663,2.6848,,<1H OCEAN,2,,74100,123609
-121.58,39.79,19,2636,523,1184,465,2.7863,,INLAND,2,,108600,98775
-118.24,34.15,19,4852,1465,3171,1332,2.5924,,<1H OCEAN,2,,192900,221944
-122.68,38.44,29,2796,588,1346,562,2.9107,,<1H OCEAN,2,,169700,173813
-118.14,33.84,43,2107,439,876,429,3.2024,,<1H OCEAN,3,,339400,220322
-117.88,34.1,32,3357,621,1696,604,4.2685,,<1H OCEAN,3,,216600,189334
-117.67,33.44,25,2994,519,903,410,6.6852,,<1H OCEAN,5,,500001,308711.08
-120.47,34.64,16,1912,406,1009,417,3.4063,,NEAR OCEAN,3,,138000,192984
-122.22,37.47,23,7740,1943,4124,1743,3.3268,,NEAR OCEAN,3,,322800,318435.12
-122.25,37.86,52,1709,318,719,295,5.0463,,NEAR BAY,4,,456300,289812.01
-118.11,34.06,30,1547,436,1700,410,2.5488,,<1H OCEAN,2,,187500,176167
-122.2,39.52,39,2551,482,1181,437,2.0625,,INLAND,2,,63400,64705
-119.9,36.58,20,1935,363,1319,359,2.4814,,INLAND,2,,74600,69276
-118.26,33.79,42,1162,264,1044,241,3.5488,,<1H OCEAN,3,,205600,166047
-122.51,37.53,17,1574,262,672,241,7.2929,,NEAR OCEAN,5,,355800,394871.3
-118.37,33.93,46,442,88,255,94,4.4474,,<1H OCEAN,3,,246900,235215.01
-118.31,33.99,48,2235,433,1363,433,1.6559,,<1H OCEAN,2,,101400,112483
-117.94,33.65,15,2016,443,1015,419,5.2732,,<1H OCEAN,4,,209700,231669
-118.46,34,44,941,230,493,206,3.6458,,<1H OCEAN,3,,325800,355688.11
-122.33,37.95,46,1543,339,777,322,4.0927,,NEAR BAY,3,,142600,152620
-117.67,34.05,6,2833,628,1717,589,3.2062,,INLAND,3,,167500,130671
-118.05,33.94,34,495,120,527,130,1.9453,,<1H OCEAN,2,,149000,143313
-118.27,33.89,32,1969,397,1349,370,4.4659,,<1H OCEAN,3,,138100,172075
-117.16,33.57,2,20391,3245,7132,2716,3.9443,,<1H OCEAN,3,,187300,211942.03
-118.46,34.03,27,1965,631,1042,596,2.75,,<1H OCEAN,2,,327300,351348.05
-122.44,37.77,52,5604,1268,2023,1196,4.4085,,NEAR BAY,3,,400000,452347.51
-122.03,37.6,24,2077,383,1488,389,4.5721,,NEAR BAY,4,,214700,207399
-117.96,34.71,32,3511,646,1733,510,3.46,,INLAND,3,,123900,98017
-117.83,34.01,16,9446,1650,4911,1534,5.0111,,<1H OCEAN,4,,212900,245585
-118.62,34.2,29,2421,402,1120,388,5.0309,,<1H OCEAN,4,,244800,236487
-121.45,38.62,37,1534,315,1147,322,2.5643,,INLAND,2,,59800,86926
-122.48,37.71,39,3615,632,1571,615,5.1149,,NEAR OCEAN,4,,314200,333921.07
-123.22,39.15,45,1348,265,639,270,3.3667,,<1H OCEAN,3,,115200,122517
-122.11,37.39,36,1660,261,655,249,6.3967,,NEAR BAY,5,,500001,390126.11
-117.71,33.47,17,2681,454,830,410,5.5507,,<1H OCEAN,4,,345700,295245.06
-118.07,33.87,18,3405,556,1945,509,5.7652,,<1H OCEAN,4,,299100,289979.01
-122.11,37.66,29,2544,643,2332,603,3.2091,,NEAR BAY,3,,150000,191510
-117.93,34.04,30,1336,239,905,253,4.8854,,<1H OCEAN,4,,178100,185252
-122.03,37.39,34,2600,650,1994,650,4.0223,,<1H OCEAN,3,,250200,250076
-118.35,33.9,31,1547,,956,287,3.4698,,<1H OCEAN,3,,225000,231810
-117.13,32.72,9,2436,720,1780,653,1.8299,,NEAR OCEAN,2,,137500,133308
-121.66,36.82,17,3921,654,1895,641,5.0092,,<1H OCEAN,4,,238700,253881
-118.13,34.05,35,3229,616,1879,595,3.9531,,<1H OCEAN,3,,268400,257977
-118.28,34.05,41,1788,774,2931,702,1.4413,,<1H OCEAN,1,,158900,185576
-118.17,34.1,25,4444,647,1922,652,8.058,,<1H OCEAN,5,,477300,454691.47
-121.33,37.97,36,1953,492,999,371,2.0043,,INLAND,2,,90800,81340
-117.23,32.74,16,1953,404,798,385,4.8167,,NEAR OCEAN,4,,169800,256469.01
-121.29,38.6,29,1276,225,600,223,4.0938,,INLAND,3,,109100,151825
-117.95,34.04,36,1044,200,982,205,4.7679,,<1H OCEAN,4,,153900,167820
-121.83,36.61,26,3723,789,2563,747,3.4531,,<1H OCEAN,3,,133100,198528
-119.21,34.26,26,2406,411,1313,391,4.9079,,NEAR OCEAN,4,,234100,236333.02
-118.29,33.91,28,1501,446,1028,418,2.3043,,<1H OCEAN,2,,177500,141188
-118.74,34.26,27,3467,545,1798,493,4.8717,,<1H OCEAN,4,,204100,221375.01
-118.2,33.96,44,2144,477,1760,452,2.3221,,<1H OCEAN,2,,161600,152625
-117.93,33.65,29,1253,375,1198,362,3.5179,,<1H OCEAN,3,,225000,258488.02
-124.09,40.88,31,1982,495,1052,467,1.5326,,NEAR OCEAN,2,,74100,72193
-121.39,38.56,19,8507,1470,3517,1453,4.3644,,INLAND,3,,137400,159804
-117.33,34.13,30,2335,363,1214,311,2.2449,,INLAND,2,,93200,82524
-118.75,34.33,27,534,85,243,77,8.2787,,<1H OCEAN,5,,330000,422838.48
-118.1,33.93,36,1124,217,707,234,4.375,,<1H OCEAN,3,,174500,174739
-118.49,34.25,33,2088,383,960,362,4.3333,,<1H OCEAN,3,,232900,239293
-117.69,34.06,29,873,226,649,198,2.7986,,INLAND,2,,114400,133532
-117.06,32.57,18,1384,311,1429,287,1.3362,,NEAR OCEAN,1,,95000,106485
-118.46,34.29,24,3668,890,3151,810,3.0526,,<1H OCEAN,3,,183300,185761
-121.74,38.55,33,6861,1820,3717,1767,1.7311,,INLAND,2,,182600,98636
-116.89,33.73,15,2094,316,937,277,5.3623,,INLAND,4,,201300,170998
-121.89,37.25,26,1741,323,1007,339,4.7069,,<1H OCEAN,4,,234800,237838
-122.15,37.72,31,1616,372,739,379,2.9097,,NEAR BAY,2,,210900,169807
-119.29,34.26,32,3295,764,1344,600,3.6007,,NEAR OCEAN,3,,395500,255852.01
-118.19,33.89,38,4018,986,3702,927,2.9293,,<1H OCEAN,2,,113600,145997
-117.66,34.06,24,4043,952,2174,859,2.2244,,INLAND,2,,114900,131281
-118.06,33.8,20,1379,333,937,304,3.6217,,<1H OCEAN,3,,195300,203471
-118,33.95,35,1431,210,505,213,6.8109,,<1H OCEAN,5,,401000,366343.17
-117.95,33.84,18,3418,815,1961,773,3.65,,<1H OCEAN,3,,171400,181102
-117.88,33.9,21,3180,434,1413,391,6.5945,,<1H OCEAN,5,,277300,314730.07
-118.12,34.11,48,2124,319,785,319,5.2131,,<1H OCEAN,4,,359600,342693.03
-120.99,37.69,25,2773,384,1060,381,6.4788,,INLAND,5,,199400,265984
-118.37,33.91,41,1869,427,1334,435,3.9355,,<1H OCEAN,3,,227800,261132
-121.74,36.47,28,1973,343,970,349,4.25,,<1H OCEAN,3,,279100,232494
-122.19,37.48,35,7067,1646,5380,1597,4.1776,,NEAR BAY,3,,265300,358366.28
-116.95,32.78,20,3425,448,1489,443,6.2552,,<1H OCEAN,5,,296400,288577
-117.8,33.76,27,2655,345,1017,335,6.9014,,<1H OCEAN,5,,366800,345903.02
-115.54,32.79,23,1712,403,1370,377,1.275,,INLAND,1,,60400,59916
-118.43,34.17,35,2922,507,1130,485,5.451,,<1H OCEAN,4,,341800,372312.21
-120.69,35.49,16,2666,450,1203,429,4.1375,,<1H OCEAN,3,,222400,226447
-118.32,33.94,37,2740,504,1468,479,4.5368,,<1H OCEAN,4,,168800,182949
-121.18,37.96,35,411,74,193,59,2.5625,,INLAND,2,,146900,134416
-121.33,37.96,42,1619,340,906,339,2.5488,,INLAND,2,,80300,79845
-119.95,36.96,18,1996,379,1327,356,2.6087,,INLAND,2,,96000,75237
-118.47,34,42,1271,301,574,312,3.1304,,<1H OCEAN,3,,340500,376870.12
-124.09,40.88,26,2683,555,1353,526,2.4321,,NEAR OCEAN,2,,82100,88926
-117.19,33.64,12,1481,265,757,243,3.235,,<1H OCEAN,3,,210700,208359.12
-120.64,40.41,50,1741,424,987,383,1.5066,,INLAND,2,,59300,62426
-119.72,34.42,52,1759,387,980,402,4.0125,,NEAR OCEAN,3,,261000,291794.01
-115.49,32.69,17,1960,389,1691,356,1.899,,INLAND,2,,64000,75897
